burst_id,mjd_topo,snr
B01497,60376.12331778,72.9
B01498,60376.12334008,942.7
B01499,60376.12346335,33
B01500,60376.1234909,41.7
B01501,60376.12370676,68.3
B01506,60376.12388182,92.6
B01508,60376.12389649,93.7
B01509,60376.12393826,20
B01513,60376.1241468,50.1
B01514,60376.12415302,108.1
B01515,60376.1242302,21.8
B01518,60376.12456719,42.7
B01520,60376.12465702,20.6
B01521,60376.12470579,231.3
B01527,60376.12492189,28
B01529,60376.12512444,125.8
B01532,60376.12545373,135.7
B01533,60376.12545573,22.4
B01542,60376.12650586,388
B01545,60376.12694463,99
B01547,60376.12745874,166
B01551,60376.12746155,23.2
B01553,60376.12790965,24.6
B01554,60376.12818222,49.4
B01555,60376.12818227,43.7
B01557,60376.1282279,421.2
B01558,60376.12844722,49.6
B01560,60376.12882732,144.3
B01561,60376.12899887,68.6
B01564,60376.12925542,205.8
B01570,60376.12951356,47.5
B01572,60376.12958308,26.4
B01573,60376.12958917,20.2
B01575,60376.12973847,30.5
B01585,60376.1310201,229.7
B01592,60376.1317316,251.3
B01596,60376.13180004,248.8
B01597,60376.13180127,25.7
B01598,60376.1318483,37.3
B01601,60376.13206058,53.6
B01603,60376.13214857,112.3
B01604,60376.13216274,336.2
B01605,60376.13221956,26.6
B01608,60376.13247173,66.3
B01609,60376.13247183,26.3
B01610,60376.13256958,47.2
B01614,60376.13278563,141.7
B01615,60376.13288188,156.4
B01616,60376.13293436,27
B01619,60376.13320014,39.4
B01621,60376.13324296,31.9
B01623,60376.13331754,21.2
B01625,60376.13335718,41.6
B01626,60376.133372,97.2
B01627,60376.13375865,94.5
B01630,60376.13398687,177.6
B01633,60376.13451066,49
B01634,60376.13451076,94.2
B01639,60376.13512271,362.7
B01640,60376.1351811,70.4
B01641,60376.13528162,25
B01643,60376.13563618,187.9
B01647,60376.13634744,52.1
B01648,60376.13645444,348.9
B01649,60376.13645489,19.1
B01653,60376.13689641,34.3
B01654,60376.13716078,54
B01655,60376.13722268,26.3
B01656,60376.13731855,20.5
B01657,60376.13736444,159.4
B01658,60376.13800908,21.4
B01660,60376.1381545,50.6
B01665,60376.13862751,502
B01667,60376.13873663,41
B01668,60376.13874031,18.6
B01669,60376.1389197,31.4
B01671,60376.13915816,30.1
B01672,60376.13925709,44.1
B01673,60376.1392656,109.8
B01674,60376.13937722,26.6
B01684,60376.13994981,108.5
B01685,60376.1399635,84.7
B01686,60376.13996699,59.5
B01689,60376.14023109,51.5
B01691,60376.14027535,91.6
B01696,60376.14035698,80.2
B01705,60376.14069705,53.6
B01707,60376.14093303,21.3
B01708,60376.14097628,29.5
B01710,60376.14113195,30.9
B01713,60376.14142005,393.5
B01716,60376.14158206,65.9
B01717,60376.14159304,42.3
B01719,60376.14165494,398.3
B01721,60376.14168214,75.8
B01722,60376.14184304,53.2
B01723,60376.14191845,23.9
B01724,60376.14197494,24.6
B01726,60376.14198272,144.4
B01728,60376.142363,61
B01732,60376.14248543,42
B01733,60376.14255304,182.8
B01734,60376.14290846,78.3
B01735,60376.14303984,43.4
B01737,60376.14334543,53.6
B01738,60376.14361152,235.9
B01741,60376.14387885,101.1
B01742,60376.14401881,47.3
B01745,60376.14442518,61.5
B01746,60376.14457179,273.9
B01754,60376.14535974,42.2
B01755,60376.14550162,115.6
B01756,60376.1455348,36.7
B01757,60376.14630202,54.5
B01759,60376.14641946,29.5
B01764,60376.14657592,30.4
B01765,60376.14698476,23.9
B01768,60376.14709179,20.4
B01770,60376.14724264,40.8
B01772,60376.14735979,35.3
B01777,60376.14775309,20.7
B01780,60376.14790481,38.1
B01782,60376.14799368,169.5
B01789,60376.14907465,24.6
B01792,60376.14915179,23.4
B01800,60376.14983463,34.9
B01801,60376.14983555,36
B01802,60376.1499595,52.4
B01803,60376.1503167,46.4
B01805,60376.150476,200.6
B01806,60376.1505816,29.7
B01808,60376.15064623,35
B01809,60376.15065612,87.9
B01812,60376.15098384,28.5
